Coin,Price,Change_1h,Change_24h,Chnage_7days,Volume_24h,Market_cap
Klever,$0.008798114723,-0.1%,-7.2%,-12.2%,n/a,"$78,263,459"
Bezoge Earth,$0.000000001805,0.0%,20.3%,67.5%,n/a,"$78,208,808"
renBTC,"$23,544.30",0.1%,0.6%,-1.6%,n/a,"$78,034,080"
Nerve Finance,$0.007682165169,-2.1%,-4.1%,3.7%,n/a,"$77,747,624"
Hxro,$0.174764,-0.1%,-3.7%,-12.2%,n/a,"$77,270,724"
Bone ShibaSwap,$1.03,1.1%,-2.0%,-1.3%,n/a,"$76,894,635"
MaidSafeCoin,$0.273418,0.2%,-9.3%,-14.9%,n/a,"$76,302,113"
Moonriver,$15.03,0.5%,2.5%,-15.3%,n/a,"$76,095,071"
Illuvium,$104.85,-0.1%,1.7%,-8.6%,n/a,"$76,093,717"
Alchemy Pay,$0.015342764774,0.2%,-1.4%,-2.7%,n/a,"$75,911,951"
Decentralized Social,$7.17,-0.1%,-4.2%,-7.3%,n/a,"$75,538,727"
Dawn Protocol,$1.00,-0.1%,0.4%,-2.6%,n/a,"$75,192,815"
Mask Network,$1.59,0.0%,-3.0%,-12.2%,n/a,"$74,980,314"
Boba Network,$0.449085,-0.2%,0.6%,-16.2%,n/a,"$74,717,142"
flexUSD,$0.374415,0.1%,4.1%,-11.9%,n/a,"$73,902,907"
MrWeb Finance,$2.44,-0.5%,-1.5%,2.3%,n/a,"$73,390,927"
Orchid Protocol,$0.123277,0.1%,0.5%,-2.8%,n/a,"$73,091,191"
Aragon,$1.91,0.1%,-0.1%,-14.6%,n/a,"$72,758,425"
Fidu,$0.982199,-0.2%,0.2%,-2.3%,n/a,"$71,893,680"
Metadium,$0.042581644924,-0.3%,0.4%,-2.9%,n/a,"$71,877,671"
Strike,$21.47,-0.1%,0.0%,1.4%,n/a,"$71,087,383"
Bounce,$9.31,0.1%,-1.6%,-12.2%,n/a,"$71,079,888"
Everipedia,$0.006083218575,-0.2%,0.4%,-3.2%,n/a,"$71,001,879"
Dock,$0.024138083470,-3.5%,4.5%,-9.4%,n/a,"$70,448,413"
Efinity,$0.158203,-0.1%,-0.9%,-10.8%,n/a,"$70,042,777"
GXChain,$0.995173,1.1%,17.6%,97.5%,n/a,"$69,820,142"
RSK Infrastructure Framework,$0.077862017896,-0.4%,-0.9%,-5.7%,n/a,"$69,519,082"
NKN,$0.107145,-0.1%,-2.6%,-7.9%,n/a,"$69,478,348"
Share,$0.003390358472,1.1%,0.4%,-4.2%,n/a,"$69,453,171"
Akash Network,$0.409116,-0.2%,0.5%,0.0%,n/a,"$69,346,024"
Augur,$9.01,-0.3%,0.6%,-1.1%,n/a,"$68,932,755"
ChainX,$0.867697,-0.6%,-1.2%,6.5%,n/a,"$68,530,128"
Sun Token,$0.006440360212,0.1%,-2.8%,-3.2%,n/a,"$67,631,960"
Fetch.ai,$0.098281301531,-0.1%,-2.6%,-1.4%,n/a,"$67,499,820"
TempleDAO,$0.690985,-0.2%,0.1%,-6.6%,n/a,"$67,464,007"
HUSD,$0.839356,-4.3%,-15.5%,-16.0%,n/a,"$67,204,543"
AscendEx,$0.090422457743,-0.5%,1.8%,9.5%,n/a,"$67,202,050"
Veritaseum,$31.15,-0.1%,-1.4%,-22.5%,n/a,"$66,889,104"
DODO,$0.159374,-0.3%,-0.6%,-12.2%,n/a,"$66,668,914"
Unifi Protocol DAO,$11.28,0.6%,-4.8%,27.0%,n/a,"$66,425,328"
Tribe,$0.145888,-0.1%,-0.9%,-9.3%,n/a,"$66,423,597"
Band Protocol,$1.58,-0.2%,-0.6%,-14.4%,n/a,"$65,813,702"
cBAT,$0.008514900548,0.0%,-0.4%,-10.6%,n/a,"$65,395,870"
Alpha Venture DAO,$0.146646,-0.1%,0.6%,-11.6%,n/a,"$65,361,050"
KILT Protocol,$0.587306,0.3%,-0.1%,3.9%,n/a,"$64,857,452"
Beta Finance,$0.133473,0.0%,0.1%,-5.9%,n/a,"$64,524,041"
TrueFi,$0.076866557862,0.6%,3.5%,-12.0%,n/a,"$64,200,218"
Hermez Network,$3.84,-0.3%,1.6%,1.2%,n/a,"$64,075,365"
Metahero,$0.008132519617,-0.8%,-0.9%,-7.4%,n/a,"$64,007,305"
Utrust,$0.135601,-0.3%,-0.8%,-11.0%,n/a,"$63,762,527"
Perpetual Protocol,$0.899206,-0.2%,2.5%,-18.2%,n/a,"$63,723,276"
Dola,$0.978079,-0.7%,-0.7%,-1.8%,n/a,"$63,290,704"
Rari Governance,$5.58,-0.3%,0.1%,-1.8%,n/a,"$63,133,948"
Aavegotchi,$1.31,-0.3%,-0.0%,-2.8%,n/a,"$62,651,475"
Verge,$0.003807687177,0.1%,-2.4%,-1.3%,n/a,"$62,631,473"
Flamingo Finance,$0.166430,-0.8%,-4.4%,-19.8%,n/a,"$62,613,403"
World Mobile Token,$0.228811,-0.1%,0.0%,1.6%,n/a,"$62,517,769"
Decimal,$0.035705041328,-0.3%,4.7%,20.4%,n/a,"$62,484,697"
Gains Network,$2.28,3.9%,8.3%,-15.5%,n/a,"$62,360,034"
Ronin,$0.419329,0.3%,1.7%,-1.7%,n/a,"$61,833,189"
cVault.finance,"$6,144.63",0.1%,1.5%,-5.8%,n/a,"$61,419,685"
Verasity,$0.005910634932,-0.2%,-1.0%,-19.3%,n/a,"$61,129,201"
Coin of the champions,$0.000000213000,-1.1%,-2.3%,-11.6%,n/a,"$60,964,149"
Doge Killer,$570.36,0.2%,-2.2%,-4.2%,n/a,"$60,248,287"
DUSK Network,$0.146934,0.1%,-0.5%,-13.4%,n/a,"$60,200,906"
BakerySwap,$0.311136,0.1%,0.1%,-10.2%,n/a,"$59,902,660"
holoride,$0.191747,0.0%,-0.4%,-13.4%,n/a,"$59,202,838"
WeWay,$0.023208442567,0.3%,-3.5%,-9.8%,n/a,"$59,074,541"
Telos,$0.213769,0.1%,0.4%,13.6%,n/a,"$58,954,516"
XSGD,$0.723858,0.2%,-0.4%,-0.9%,n/a,"$58,531,476"
Bytecoin,$0.000063216920,-0.1%,2.6%,3.3%,n/a,"$58,425,443"
Aergo,$0.142097,-0.0%,1.8%,-2.7%,n/a,"$58,269,505"
ThunderCore,$0.006126386988,-0.4%,0.9%,-0.7%,n/a,"$58,261,540"
Ferro,$0.079176223551,0.8%,3.7%,8.6%,n/a,"$58,189,163"
Polkastarter,$0.586051,-0.0%,-2.8%,-13.5%,n/a,"$58,048,953"
Kishu Inu,$0.000000000597,-1.0%,-4.7%,5.4%,n/a,"$57,932,857"
Keep3rV1,$139.11,0.2%,-3.2%,-11.4%,n/a,"$57,731,381"
DFI.money,"$1,441.46",-0.5%,-6.5%,-19.0%,n/a,"$57,220,246"
Proton,$0.004052250362,-0.6%,-0.2%,2.8%,n/a,"$56,255,367"
BarnBridge,$7.71,-1.8%,-10.7%,-7.3%,n/a,"$55,968,911"
Dejitaru Tsuka,$0.055121190098,3.4%,0.0%,38.5%,n/a,"$55,145,217"
MAI,$0.992364,-0.4%,-0.2%,-0.4%,n/a,"$54,644,976"
Electroneum,$0.003029846855,-0.4%,-0.8%,-7.1%,n/a,"$54,327,736"
BoringDAO [OLD],$102.03,,-46.6%,-8.0%,n/a,"$54,184,978"
Efforce,$0.102128,2.4%,-1.5%,8.1%,n/a,"$54,155,759"
Mango,$0.049299642932,-0.3%,0.6%,-6.9%,n/a,"$54,142,850"
Divi,$0.017915306967,-0.4%,2.2%,-5.7%,n/a,"$54,063,516"
Meter Governance,$3.28,-0.2%,3.5%,-13.0%,n/a,"$54,033,042"
Bitcicoin,$0.006913785361,-10.9%,8.7%,77.0%,n/a,"$53,960,538"
TomoChain,$0.596277,-0.2%,1.7%,-7.4%,n/a,"$53,199,794"
Santos FC Fan Token,$13.97,-8.9%,136.9%,193.2%,n/a,"$53,162,416"
CUBE,$0.075467689541,-0.5%,-8.4%,-14.9%,n/a,"$53,087,652"
Hifi Finance,$0.005635897040,-0.2%,-0.1%,-19.6%,n/a,"$52,969,399"
Astrafer,$3.74,-0.0%,1.0%,-6.5%,n/a,"$52,632,787"
Hunt,$0.481780,-0.2%,0.3%,-2.9%,n/a,"$52,589,329"
DEAPCOIN,$0.010805986260,-0.4%,-0.0%,-7.4%,n/a,"$52,361,065"
IDEX,$0.077806864517,-0.1%,-1.8%,-6.7%,n/a,"$52,281,990"
Blox,$0.077514589207,-0.2%,-15.5%,3.9%,n/a,"$52,278,713"
bZx Protocol,$0.101074,8.2%,-5.2%,14.9%,n/a,"$51,998,869"
COCOS BCX,$0.773407,0.4%,0.5%,-3.2%,n/a,"$51,942,577"
Automata,$0.198722,0.1%,-3.0%,-8.3%,n/a,"$51,445,249"
JasmyCoin,$0.010746014260,-0.0%,-3.4%,4.3%,n/a,"$51,043,047"
Dopex Rebate,$42.51,-1.3%,11.6%,-4.9%,n/a,"$50,828,120"
Dero,$3.99,0.7%,1.4%,-0.9%,n/a,"$50,518,485"
Sportium,$0.299448,-0.1%,-9.9%,-61.3%,n/a,"$50,402,730"
SingularityNET,$0.046613865784,-0.8%,0.7%,-13.1%,n/a,"$50,311,569"
Phoenix Global [OLD],$0.915194,0.0%,0.0%,0.0%,n/a,"$50,271,405"
IX,$0.941880,0.5%,-1.6%,-11.8%,n/a,"$50,269,260"
StarLink,$0.000005033887,-0.8%,-2.5%,1.8%,n/a,"$50,233,076"
Koda Cryptocurrency,$0.000098478014,0.5%,-1.9%,-17.2%,n/a,"$50,208,210"
CateCoin,$0.000001451973,-0.2%,3.3%,11.0%,n/a,"$50,046,269"
Wrapped NXM,$17.63,-0.2%,-5.2%,-5.4%,n/a,"$49,719,982"
Cult DAO,$0.000011506658,-0.3%,-2.9%,-17.6%,n/a,"$49,103,601"
Nexus,$0.054125850201,1.4%,3.2%,-28.1%,n/a,"$48,923,600"
Aleph.im,$0.261655,0.1%,0.3%,0.1%,n/a,"$48,711,726"
YUSD Stablecoin,$0.993126,-0.1%,-0.3%,-0.1%,n/a,"$48,632,669"
cUNI,$0.163803,0.0%,1.2%,-12.1%,n/a,"$48,610,596"
Celo Dollar,$0.993554,-0.1%,-0.2%,0.6%,n/a,"$48,475,293"
Freeway,$0.007079891075,-1.5%,-1.9%,-2.7%,n/a,"$48,176,891"
Origin Dollar,$0.990250,-0.4%,-0.9%,-0.5%,n/a,"$48,100,094"
Phala Network,$0.121263,-0.2%,0.0%,-8.9%,n/a,"$48,005,851"
Concordium,$0.011904769293,-0.8%,-4.2%,-21.0%,n/a,"$47,857,915"
chrono.tech,$66.59,-2.2%,1.3%,-11.0%,n/a,"$47,409,025"
EverRise,$0.000658625218,-0.5%,-2.0%,-13.1%,n/a,"$47,229,985"
Samoyedcoin,$0.013456191272,-0.1%,0.7%,-12.6%,n/a,"$47,032,359"
Yoshi.exchange,$0.368436,0.1%,1.4%,-13.5%,n/a,"$47,022,396"
ZoidPay,$0.144401,0.6%,2.3%,-10.0%,n/a,"$46,998,210"
Marlin,$0.012012844416,0.9%,1.3%,-16.7%,n/a,"$46,851,001"
Regen,$0.345599,0.0%,0.8%,5.5%,n/a,"$46,806,606"
Hoo,$0.564751,3.7%,3.6%,-9.3%,n/a,"$46,583,329"
SuperFarm,$0.161840,-0.4%,-0.4%,-9.9%,n/a,"$46,477,133"
Orion Protocol,$1.35,-0.2%,-3.0%,-12.4%,n/a,"$46,369,011"
Ampleforth Governance,$5.35,0.2%,0.7%,-4.6%,n/a,"$46,354,102"
Talken,$0.412029,-1.0%,1.1%,12.3%,n/a,"$46,282,221"
League of Kingdoms,$0.693400,-0.0%,0.2%,-12.6%,n/a,"$46,151,043"
apM Coin,$0.127831,-0.3%,-1.2%,-12.3%,n/a,"$46,093,282"
SERO,$0.125907,-0.3%,8.7%,15.6%,n/a,"$45,977,501"
H2O Dao,$0.585990,-1.0%,-0.9%,-2.9%,n/a,"$45,831,574"
Alchemix,$30.35,1.0%,2.5%,-12.0%,n/a,"$45,805,415"
Bella Protocol,$0.816394,0.1%,-1.2%,-7.2%,n/a,"$45,737,517"
Propy,$0.785204,-2.2%,-2.4%,1.7%,n/a,"$45,701,602"
Wanchain,$0.231616,-0.5%,0.3%,-6.2%,n/a,"$45,220,740"
Carry,$0.005124702994,-0.4%,0.9%,-1.7%,n/a,"$45,060,317"
Kyber Network Crystal Legacy,$1.75,1.5%,10.8%,7.4%,n/a,"$45,002,623"
Stargate Finance,$0.333913,-0.6%,-2.0%,-13.3%,n/a,"$44,461,483"
RAMP [OLD],$0.108247,2.8%,3.6%,-0.3%,n/a,"$44,451,697"
XCAD Network,$1.84,-0.6%,-3.8%,4.2%,n/a,"$44,247,640"
Elastos,$2.06,-0.2%,1.9%,-1.6%,n/a,"$43,961,782"
Alpine F1 Team Fan Token,$4.09,9.0%,32.8%,38.0%,n/a,"$43,849,914"
Ellipsis [OLD],$0.062242390472,-1.2%,-8.8%,-10.4%,n/a,"$43,690,861"
agEUR,$1.02,-0.6%,0.3%,-0.8%,n/a,"$43,448,265"
Axion,$0.000012262386,0.3%,-0.4%,-2.2%,n/a,"$43,431,003"
BENQI,$0.016140283685,-0.9%,-3.4%,-9.0%,n/a,"$43,424,751"
Step App,$0.105035,-2.8%,-0.9%,-12.1%,n/a,"$43,175,477"
AVINOC,$0.257085,-0.1%,0.5%,-2.1%,n/a,"$42,980,552"
SafePal,$0.396660,-0.4%,-0.6%,-7.8%,n/a,"$42,935,049"
Travala.com,$0.815863,-0.9%,6.2%,-5.5%,n/a,"$42,847,650"
USDK,$1.00,0.1%,0.0%,0.0%,n/a,"$42,574,247"
Badger DAO,$4.24,-0.8%,-1.6%,-18.5%,n/a,"$42,222,679"
Railgun,$0.729035,-0.5%,5.4%,-6.5%,n/a,"$42,127,059"
Zignaly,$0.010528736609,-0.0%,-2.1%,-10.4%,n/a,"$42,062,845"
Loom Network (OLD),$0.050326379382,-0.4%,0.0%,-2.7%,n/a,"$41,921,236"
Rich Quack,$0.000000000938,-0.1%,-2.8%,-10.5%,n/a,"$41,750,432"
Gitcoin,$2.94,-0.3%,-4.1%,-3.2%,n/a,"$41,729,702"
Alpha Quark,$1.54,1.4%,2.4%,-0.3%,n/a,"$41,555,982"
Hydra,$3.11,-0.4%,0.0%,-2.5%,n/a,"$41,495,281"
ZigZag,$3.28,-0.1%,0.5%,-4.3%,n/a,"$41,461,180"
Neutrino System Base,$15.07,0.2%,-1.5%,-22.9%,n/a,"$41,404,755"
LeverFi,$0.003054582077,1.1%,2.0%,-1.6%,n/a,"$41,264,087"
Cratos,$0.000596790600,0.1%,-4.0%,-4.3%,n/a,"$41,155,021"
Kaspa,$0.003504443924,3.0%,40.4%,393.9%,n/a,"$41,078,657"
AIOZ Network,$0.065003521589,-0.2%,-1.4%,-12.1%,n/a,"$41,077,287"
Vega Protocol,$1.58,0.0%,0.3%,-11.8%,n/a,"$41,062,116"
Gas,$2.94,0.7%,0.9%,-3.8%,n/a,"$41,037,725"
Bolide,$0.023367719877,-0.3%,-2.0%,-1.1%,n/a,"$40,959,799"
ONBUFF,$0.052912184978,-0.3%,2.1%,-3.7%,n/a,"$40,717,060"
KardiaChain,$0.010226661157,0.7%,-4.5%,-5.5%,n/a,"$40,709,390"
Decentral Games,$0.072512387769,-0.4%,3.5%,-6.1%,n/a,"$40,432,800"
Linear,$0.009784570511,-0.2%,0.6%,-7.8%,n/a,"$40,398,189"
Mossland,$0.105532,-0.1%,0.6%,-2.2%,n/a,"$40,364,614"
ARPA Chain,$0.040880542217,0.1%,-1.2%,-7.1%,n/a,"$40,164,396"
Alpaca Finance,$0.260401,0.4%,-2.7%,-7.9%,n/a,"$40,082,526"
BiLira,$0.054723221294,-0.1%,-0.8%,-1.7%,n/a,"$39,985,448"
DEI,$0.998184,-0.2%,426.7%,500.7%,n/a,"$39,954,728"
REI Network,$0.041567339323,-0.8%,1.1%,-6.5%,n/a,"$39,893,298"
CloutContracts,$3.66,0.2%,2.1%,0.9%,n/a,"$39,554,042"
Enzyme,$27.21,0.1%,-0.8%,-8.5%,n/a,"$39,534,604"
Komodo,$0.293704,-0.8%,-0.1%,-8.1%,n/a,"$39,462,789"
LCX,$0.069945226395,0.5%,-2.1%,14.6%,n/a,"$39,285,247"
LTO Network,$0.099691106500,0.0%,0.7%,-3.8%,n/a,"$39,181,255"
DeFi Pulse Index,$105.73,-0.6%,-0.4%,-10.1%,n/a,"$38,978,452"
Instadapp ETH,"$1,916.60",0.0%,2.0%,0.4%,n/a,"$38,602,610"
Quickswap [OLD],$83.19,0.0%,1.1%,-5.5%,n/a,"$38,399,787"
Hector Network,$16.17,-0.0%,-6.6%,-26.4%,n/a,"$38,363,065"
DIA,$0.464274,0.3%,-0.1%,-5.4%,n/a,"$38,211,487"
district0x,$0.050666880670,-0.3%,-0.9%,-7.8%,n/a,"$38,051,871"
Syntropy,$0.078871506479,0.8%,3.5%,-0.4%,n/a,"$37,784,094"
Redacted Cartel [OLD],$36.37,3.4%,-1.7%,-24.2%,n/a,"$37,714,440"
BitMart,$0.213584,-0.1%,1.9%,-5.8%,n/a,"$37,559,592"
Aave [OLD],$1.03,0.1%,-1.6%,-8.1%,n/a,"$37,406,181"
Toucan Protocol: Base Carbon Tonne,$1.95,-0.9%,3.3%,-2.8%,n/a,"$37,208,693"
HyperCash,$0.133098,-0.1%,-0.8%,-6.5%,n/a,"$36,981,427"
Steem Dollars,$3.19,-0.1%,0.8%,-3.4%,n/a,"$36,787,056"
mStable USD,$0.978313,-0.2%,-0.2%,-1.9%,n/a,"$36,720,384"
SuperRare,$0.250467,-0.1%,-1.6%,-16.3%,n/a,"$36,382,631"
Firmachain,$0.071615295090,0.1%,-0.2%,0.5%,n/a,"$36,225,537"
Koinos,$0.362251,-0.2%,8.4%,79.4%,n/a,"$35,992,528"
Refereum,$0.007362840929,-0.4%,-0.9%,1.6%,n/a,"$35,913,330"
Presearch,$0.090615757391,-0.8%,-0.7%,7.2%,n/a,"$35,885,939"
Hathor,$0.151190,-1.4%,-1.0%,-5.2%,n/a,"$35,597,723"
Harvest Finance,$53.51,-0.0%,-1.3%,-4.5%,n/a,"$35,546,584"
Stargaze,$0.032941732355,0.3%,4.6%,2.4%,n/a,"$35,495,158"
RIZON,$0.019131957833,-0.5%,-0.0%,-3.6%,n/a,"$35,429,709"
Anchor Protocol,$0.100898,-0.2%,-3.5%,-12.6%,n/a,"$35,331,802"
Wing Finance,$12.82,-0.4%,-3.4%,-14.1%,n/a,"$35,294,411"
Clover Finance,$0.110194,0.0%,-0.8%,-7.1%,n/a,"$35,152,964"
Snowbank,$218.88,?,?,?,n/a,"$34,941,585"
Beefy.Finance,$433.82,0.1%,0.5%,-7.9%,n/a,"$34,737,468"
Klima DAO,$4.71,-0.5%,0.2%,-12.4%,n/a,"$34,648,110"
Aeternity,$0.085831412491,-1.4%,-2.2%,-4.5%,n/a,"$34,350,580"
Qredo,$0.306705,-0.4%,-3.3%,-13.4%,n/a,"$34,302,016"
Phantasma,$0.320958,0.2%,-0.9%,-9.4%,n/a,"$34,239,945"
Volt Inu,$0.000000754911,-0.6%,0.5%,-5.1%,n/a,"$34,208,962"
Karura,$0.502042,0.3%,-0.5%,-22.0%,n/a,"$33,942,092"
RMRK,$3.56,-1.5%,-1.3%,-10.3%,n/a,"$33,928,595"
Rootkit,"$1,755.02",0.1%,0.1%,-1.0%,n/a,"$33,886,808"
Bitcoin Diamond,$0.179811,0.2%,-3.2%,-0.2%,n/a,"$33,873,152"
MAP Protocol,$0.015150177296,-0.9%,23.6%,19.4%,n/a,"$33,833,548"
Kava Swap,$0.421603,1.0%,2.1%,13.3%,n/a,"$33,744,725"
c0x,$0.007230066475,0.0%,0.6%,-4.6%,n/a,"$33,477,397"
Refinable,$0.027683777252,-0.7%,-1.1%,-5.3%,n/a,"$33,475,832"
ShapeShift FOX Token,$0.080274892335,-0.2%,-1.7%,-6.3%,n/a,"$33,364,214"
Paris Saint-Germain Fan Token,$10.85,1.2%,23.9%,23.8%,n/a,"$33,132,129"
Celo Euro,$1.00,6.4%,4.8%,0.6%,n/a,"$33,127,942"
Circuits of Value,$0.018418021768,0.2%,-7.0%,41.4%,n/a,"$33,018,783"
Litentry,$0.882916,-0.1%,-0.9%,-12.9%,n/a,"$32,812,050"
Swarm,$0.516484,-0.7%,-5.3%,-13.4%,n/a,"$32,807,232"
Adventure Gold,$0.428284,-0.2%,0.6%,-5.8%,n/a,"$32,768,433"
Cere Network,$0.007438524698,-0.9%,9.7%,22.1%,n/a,"$32,656,179"
Splintershards,$0.066655911553,-0.7%,-1.8%,-15.3%,n/a,"$32,645,647"
Rook,$39.34,0.7%,4.1%,-7.5%,n/a,"$32,268,045"
PlatON Network,$0.011234165566,-0.6%,2.0%,-23.8%,n/a,"$32,198,277"
Wilder World,$0.337712,-1.8%,-2.4%,-28.0%,n/a,"$32,126,230"
BOX Token,$0.008461748501,?,?,?,n/a,"$31,921,670"
Euro Coin,$1.02,-0.2%,-0.2%,-1.5%,n/a,"$31,852,477"
IRISnet,$0.023247178245,-0.4%,1.0%,-9.6%,n/a,"$31,626,886"
Handshake,$0.060646511732,-0.3%,1.8%,-0.9%,n/a,"$31,609,020"
Kava Lend,$0.233825,-0.6%,-1.1%,-11.3%,n/a,"$31,502,720"
Globiance Exchange,$0.000000082252,-1.5%,-4.7%,-8.5%,n/a,"$31,450,299"
FIO Protocol,$0.051851717165,-0.8%,-0.9%,-7.7%,n/a,"$31,433,026"
Redacted,$269.38,0.2%,7.8%,-27.2%,n/a,"$31,189,445"
Ethernity Chain,$1.98,-0.1%,-1.0%,-15.8%,n/a,"$31,086,103"
Boson Protocol,$0.343905,-0.3%,0.6%,-15.8%,n/a,"$31,058,873"
Mirror Protocol,$0.199134,0.2%,-1.3%,-14.7%,n/a,"$31,038,718"
Firo,$2.71,-0.5%,-4.3%,-6.4%,n/a,"$30,987,851"
Umee,$0.014911384125,-2.0%,-9.5%,-19.7%,n/a,"$30,925,412"
Rarible,$3.28,1.7%,3.0%,1.8%,n/a,"$30,924,776"
MintMe.com Coin,$0.057528729568,1.8%,3.9%,45.0%,n/a,"$30,857,576"
Bean,$0.976739,-0.2%,-0.2%,27118.9%,n/a,"$30,782,649"
Bonfida,$0.512542,0.0%,-0.7%,-4.3%,n/a,"$30,717,381"
Covalent,$0.077956953063,-0.3%,-1.6%,-12.6%,n/a,"$30,655,836"
BitShares,$0.011252676768,0.7%,-8.0%,-29.5%,n/a,"$30,532,821"
SelfKey,$0.005072666948,-2.2%,3.1%,-4.9%,n/a,"$30,435,184"
GET Protocol,$1.91,0.4%,4.9%,0.1%,n/a,"$30,431,603"
Groestlcoin,$0.375189,-0.1%,1.2%,-2.3%,n/a,"$30,160,067"
Sai,$9.84,?,?,?,n/a,"$30,147,378"
Coinweb,$0.022375214573,0.9%,3.0%,10.4%,n/a,"$29,988,797"
BNB48 Club,$8.66,-2.1%,-6.4%,-14.6%,n/a,"$29,782,161"
RAI Finance,$0.106287,-2.7%,-6.3%,-10.6%,n/a,"$29,748,516"
Victoria VR,$0.020379776605,-1.5%,-5.3%,-23.2%,n/a,"$29,729,427"
Magic,$0.581121,-0.7%,5.8%,-35.0%,n/a,"$29,583,481"
Cudos,$0.008834703196,-1.4%,-1.5%,-8.6%,n/a,"$29,519,085"
Tokemak,$1.78,0.0%,-9.5%,-6.5%,n/a,"$29,369,505"
Somnium Space CUBEs,$1.96,-0.7%,3.8%,1.3%,n/a,"$29,170,326"
Unibright,$0.194029,-0.8%,-2.2%,-11.7%,n/a,"$29,082,854"
CargoX,$0.173649,-0.2%,1.9%,-1.6%,n/a,"$29,028,614"
Cortex,$0.145358,-1.1%,2.6%,-6.3%,n/a,"$28,959,520"
Bluzelle,$0.086629817692,-0.5%,-3.0%,-16.8%,n/a,"$28,914,175"
Cube Network,$0.600275,-0.1%,-0.3%,-2.2%,n/a,"$28,900,909"
Ooki,$0.007558827952,-0.4%,3.7%,24.0%,n/a,"$28,876,654"
Atletico Madrid Fan Token,$5.93,3.1%,19.8%,20.6%,n/a,"$28,841,703"
Contentos,$0.008417377771,-0.7%,3.7%,4.5%,n/a,"$28,810,569"
Shiba Predator,$0.000000048191,0.6%,1.8%,34.6%,n/a,"$28,802,831"
GYEN,$0.007371368011,-0.1%,0.4%,-1.8%,n/a,"$28,695,747"
Sport and Leisure,$0.116802,?,?,?,n/a,"$28,585,407"
Luffy,$0.000000000422,1.0%,-4.6%,-18.3%,n/a,"$28,300,578"
Zipmex,$0.319101,0.0%,-3.0%,-0.8%,n/a,"$28,297,737"
Reserve,$0.998743,0.1%,-0.3%,0.2%,n/a,"$28,173,387"
MANTRA DAO,$0.056317362941,-0.0%,1.8%,-1.4%,n/a,"$27,807,195"
Tranchess,$0.336790,-0.3%,0.0%,-12.6%,n/a,"$27,784,259"
PolySwarm,$0.017913335198,0.5%,1.7%,-6.1%,n/a,"$27,769,494"
Spookyswap,$2.79,-1.0%,-4.1%,-14.5%,n/a,"$27,746,113"
TokenPocket Token,$0.007976179555,0.3%,1.1%,-6.0%,n/a,"$27,586,055"
Manchester City Fan Token,$7.42,3.4%,19.9%,23.5%,n/a,"$27,453,457"
Nym,$0.398738,0.2%,0.7%,-8.7%,n/a,"$27,383,784"
MixMarvel,$0.005289083881,0.3%,2.0%,-9.5%,n/a,"$27,244,061"
IdeaChain,$0.500620,?,?,?,n/a,"$26,983,409"
Lyra Finance,$0.156423,-0.5%,-1.6%,-5.6%,n/a,"$26,926,615"
Saito,$0.012367616457,0.2%,1.4%,6.5%,n/a,"$26,855,170"
Vite,$0.030214491297,-0.1%,0.4%,-6.0%,n/a,"$26,723,970"
pSTAKE Finance,$0.157055,-1.8%,-8.6%,-26.5%,n/a,"$26,534,907"
Lazio Fan Token,$4.46,-3.9%,27.8%,38.7%,n/a,"$26,489,934"
Genopets,$6.62,-0.3%,-5.3%,-8.2%,n/a,"$26,426,277"
StakeWise,$0.175596,0.9%,6.4%,-19.4%,n/a,"$26,417,169"
sETH,"$1,815.77",-0.3%,0.1%,-2.5%,n/a,"$26,390,913"
Ion,"$1,228.93",-0.3%,6.4%,-9.2%,n/a,"$26,152,986"
Aura Finance,$2.68,,0.1%,-17.2%,n/a,"$26,046,855"
Hoge Finance,$0.000062886935,-0.5%,-1.3%,18.6%,n/a,"$26,000,189"
Index Coop - ETH 2x Flexible Leverage Index,$16.97,-0.3%,3.2%,0.1%,n/a,"$25,988,509"
Pylon Protocol,$0.011756272152,0.8%,15.1%,2693.7%,n/a,"$25,886,606"
Ambire AdEx,$0.181486,-0.4%,-0.7%,-7.9%,n/a,"$25,839,888"
QANplatform,$0.012462371929,-0.3%,-0.8%,-23.2%,n/a,"$25,738,787"
Sentinel Protocol,$0.079149463305,-0.1%,1.1%,-3.2%,n/a,"$25,720,978"
Decentral Games Governance,$0.078025467801,-0.3%,3.2%,-1.4%,n/a,"$25,534,207"
Bitrue Coin,$0.062661120990,-0.4%,-5.7%,-14.8%,n/a,"$25,360,649"
Itheum,$0.122954,-0.0%,-0.1%,-14.3%,n/a,"$25,342,887"
GenesysGo Shadow,$0.332719,-0.1%,0.1%,-3.7%,n/a,"$25,295,689"
PinkSale,$250.62,-1.2%,-1.3%,-8.3%,n/a,"$25,200,229"
JPEG'd,$0.001203089196,0.6%,18.0%,31.8%,n/a,"$24,974,402"
AllianceBlock,$0.053949852027,0.0%,-0.1%,-8.6%,n/a,"$24,844,596"
STEPN Green Satoshi Token on Solana,$0.056623488268,-0.1%,-4.9%,-9.6%,n/a,"$24,842,475"
STEPN Green Satoshi Token on ETH,$0.855191,-1.6%,-12.2%,-55.2%,n/a,"$24,838,139"
ICHI,$5.03,-0.1%,-0.3%,-9.9%,n/a,"$24,763,656"
